Timestamp,Rainfall (mm),station_number,station_name,station_no,latitude,longitude,biomass,coal,imports,gas,nuclear,other,hydro,solar,wind
01-Jun-18,37.6,14921,Colliston,14921,56.61000991,-2.637841019,1.27965587,0,1.98562753,18.66842105,41.32864372,0,7.054757085,1.576315789,28.10657895
01-Jun-18,202.8,552791,Comer Farm,552791,56.20150723,-4.601310376,1.27965587,0,1.98562753,18.66842105,41.32864372,0,7.054757085,1.576315789,28.10657895
01-Jun-18,56.4,525510,Comiston Rain Gauge,525510,55.91019401,-3.21598827,1.27965587,0,1.98562753,18.66842105,41.32864372,0,7.054757085,1.576315789,28.10657895
01-Jun-18,43.2,115322,Corrimony,115322,57.33501743,-4.699729622,1.27965587,0,1.98562753,18.66842105,41.32864372,0,7.054757085,1.576315789,28.10657895
01-Jun-18,81.2,336434,Corsock,336434,55.05876816,-3.945715778,1.27965587,0,1.98562753,18.66842105,41.32864372,0,7.054757085,1.576315789,28.10657895
01-Jun-18,117.2,115541,Craigdarroch,115541,55.196659,-3.981943267,1.27965587,0,1.98562753,18.66842105,41.32864372,0,7.054757085,1.576315789,28.10657895
01-Jun-18,35.6,513003,Craigenlee Croft Raingauge,513003,54.86294592,-5.075279664,1.27965587,0,1.98562753,18.66842105,41.32864372,0,7.054757085,1.576315789,28.10657895
01-Jun-18,38.2,234190,Creed Bridge,234190,58.20454028,-6.424227928,1.27965587,0,1.98562753,18.66842105,41.32864372,0,7.054757085,1.576315789,28.10657895
01-Jun-18,71.2,15224,Crichton,15224,55.84509063,-2.988655721,1.27965587,0,1.98562753,18.66842105,41.32864372,0,7.054757085,1.576315789,28.10657895
01-Jun-18,19.4,234192,Cullen,234192,57.68712295,-2.83323079,1.27965587,0,1.98562753,18.66842105,41.32864372,0,7.054757085,1.576315789,28.10657895
01-Jun-18,21.6,498341,Culloden Battlefield,498341,57.47676464,-4.09126842,1.27965587,0,1.98562753,18.66842105,41.32864372,0,7.054757085,1.576315789,28.10657895
01-Jun-18,56.2,115544,Culzean Castle,115544,55.35068095,-4.791520726,1.27965587,0,1.98562753,18.66842105,41.32864372,0,7.054757085,1.576315789,28.10657895
01-Jun-18,53.2,115546,Dalbeattie STW,115546,54.92152642,-3.821987578,1.27965587,0,1.98562753,18.66842105,41.32864372,0,7.054757085,1.576315789,28.10657895
01-Jun-18,78.6,538510,Dalblair,538510,55.44485443,-4.1519297,1.27965587,0,1.98562753,18.66842105,41.32864372,0,7.054757085,1.576315789,28.10657895
01-Jun-18,60.6,327232,Daldowie STW,327232,55.83262494,-4.122714806,1.27965587,0,1.98562753,18.66842105,41.32864372,0,7.054757085,1.576315789,28.10657895
